District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production,Source_File,Season,Year
MAHAWELI_H,24178.0,0.0,0.0,24178.0,24178.0,0.0,0.0,24178.0,5501.0,0.0,0.0,5501.0,21682.0,119285.0,2007-2008  Maha.csv,Maha,2007-2008
COLOMBO,772.0,103.0,2957.0,3832.0,103.0,763.0,2942.0,3809.0,2959.0,2777.0,3282.0,3172.0,3238.0,10269.0,2008  Yala.csv,Yala,2008
GAMPAHA,1317.0,1359.0,4825.0,7501.0,1359.0,1314.0,4796.0,7470.0,3182.0,3262.0,3255.0,3243.0,6349.0,20592.0,2008  Yala.csv,Yala,2008
KALUTARA,1812.0,118.0,10438.0,12368.0,96.0,1661.0,9092.0,10849.0,3332.0,2976.0,2695.0,2743.0,10008.0,27454.0,2008  Yala.csv,Yala,2008
GALLE,104.0,0.0,14025.0,14130.0,0.0,83.0,13427.0,13510.0,0.0,3942.0,3021.0,3027.0,10573.0,32005.0,2008  Yala.csv,Yala,2008
MATARA,3351.0,3941.0,8683.0,15975.0,3922.0,3332.0,8658.0,15912.0,4263.0,3679.0,3553.0,3755.0,12562.0,47167.0,2008  Yala.csv,Yala,2008
RATNAPURA,6092.0,1951.0,3287.0,11331.0,1919.0,6041.0,3249.0,11210.0,4596.0,3730.0,2618.0,3556.0,9529.0,33882.0,2008  Yala.csv,Yala,2008
KEGALLE,2393.0,0.0,5039.0,7431.0,0.0,2390.0,5034.0,7424.0,0.0,3077.0,3440.0,3323.0,6955.0,23111.0,2008  Yala.csv,Yala,2008
KURUNEGALA,30152.0,13865.0,24895.0,68912.0,13865.0,29687.0,24636.0,68188.0,3642.0,3074.0,2958.0,3148.0,68188.0,214632.0,2008  Yala.csv,Yala,2008
PUTTALAM,7016.0,6664.0,804.0,14484.0,6638.0,6759.0,794.0,14192.0,4136.0,3460.0,2914.0,3746.0,12063.0,45184.0,2008  Yala.csv,Yala,2008
